ir,pc_index,ai_index,inst,repoName,rURL,countItems,countCcdUrls,countItemUrls,countItemUris,useRatio,sumCcd,ccdAggSum,ccdAggCount,ccdAggMean,ccdAggStd,ccdAggMin,ccdAgg25,ccdAgg50,ccdAgg75,ccdAggMax,itemAggSum,itemAggCount,itemAggMean,itemAggStd,itemAggMin,itemAgg25,itemAgg50,itemAgg75,itemAggMax,serp1,serp1CcdSum,serp100,serp100CcdSum,irCountry,irType,irPlat,normIrPlat,ctMethod,ctEtd,pctEtd,gsSO
nku,nku_page_clicks,nku_access_info,Northern Kentucky University,NKU Digital Repository,https://dspace.nku.edu,2420,425,408,408,0.17,2315.0,2315.0,425.0,5.447058823529412,21.90519123143376,1.0,1.0,2.0,4.0,391.0,2315.0,408.0,5.674019607843137,22.486230818704218,1.0,1.0,2.0,4.0,391.0,724,853.0,1768,2315.0,USA,University,DSpace,DSpace,Title browse,17,0.01,645
viurr,viurr_page_clicks,viurr_access_info,Royal Roads University/Vancouver Island University,VIURRSpace,https://viurrspace.ca,10366,1770,1670,1670,0.16,25992.0,25992.0,1770.0,14.684745762711865,96.77265873038645,1.0,1.0,3.0,8.0,3329.0,25992.0,1670.0,15.564071856287425,100.47255226838833,1.0,1.0,3.0,8.0,3329.0,3521,5467.0,14731,25992.0,Canada,Consortium,DSpace,DSpace,Title browse,.,.,2700
rutgers,rutgers_page_clicks,rutgers_access_info,Rutgers University,Rucore (Rutgers),https://rucore.libraries.rutgers.edu,43008,8707,8274,8264,0.19,159338.0,159338.0,8707.0,18.29998851498794,98.36156176687511,1.0,1.0,4.0,12.0,6141.0,159338.0,8264.0,19.280977734753147,101.27706013963856,1.0,2.0,4.0,13.0,6141.0,20354,33998.0,97179,159338.0,USA,University,Fedora,Fedora,Blank search,8103,0.19,13300
shsu_ir,shsu_ir_page_clicks,shsu_ir_access_info,Sam Houston State University,Scholarly Works @ SHSU,https://shsu-ir.tdl.org,2095,768,586,586,0.28,7973.0,7973.0,768.0,10.381510416666666,27.639871089722533,1.0,1.0,3.0,8.0,364.0,7962.0,585.0,13.61025641025641,34.62537123240824,1.0,1.0,3.0,10.0,382.0,2320,2942.0,5936,7973.0,USA,University,DSpace,DSpace,Title browse,271,0.13,2010
swarthmore,swarthmore_page_clicks,swarthmore_access_info,Swarthmore College,Swarthmore Works,https://works.swarthmore.edu,11095,818,687,687,0.06,13223.0,13223.0,818.0,16.165036674816626,70.07017570053358,1.0,1.0,3.0,9.0,1705.0,13203.0,686.0,19.246355685131196,78.2434658626725,1.0,1.0,4.0,12.0,1705.0,1840,2376.0,8151,13223.0,USA,University,Digital Commons,Digital Commons,Website,.,.,.
epsilon,epsilon_page_clicks,epsilon_access_info,Swedish University of Agricultural Sciences,Epsilon Open Archive,https://pub.epsilon.slu.se,9307,4836,4775,4747,0.51,137830.0,137830.0,4836.0,28.50082712985939,113.23496176542407,1.0,2.0,7.0,21.0,4451.0,137830.0,4747.0,29.035180113756056,114.32347694101199,1.0,2.0,7.0,21.0,4451.0,25934,44685.0,80856,137830.0,Sweden,University,EPrints 3,EPrints,BASE,8269,0.89,6700
epsilon_students,epsilon_students_page_clicks,epsilon_students_access_info,Swedish University of Agricultural Sciences,Epsilon Archive for Student Projects,https://stud.epsilon.slu.se/cgi/stats/report,11895,10792,10757,10753,0.9,421045.0,421045.0,10792.0,39.01454781319496,98.9434822915583,1.0,5.0,12.0,34.0,2375.0,421045.0,10753.0,39.156049474565236,99.14550757892373,1.0,5.0,13.0,34.0,2375.0,107724,178733.0,252292,421045.0,Sweden,University,EPrints 3,EPrints,Items listed on statistics browse page,11895,1.0,11700
univ_kentucky,univ_kentucky_page_clicks,univ_kentucky_access_info,University of Kentucky,Uknowledge (U Kentucky),https://uknowledge.uky.edu,34196,12228,10628,10628,0.31,299022.0,299022.0,12228.0,24.45387634936212,83.99721678192054,1.0,2.0,5.0,17.0,3621.0,299022.0,10628.0,28.135302973278133,90.8130570615382,1.0,2.0,6.0,21.0,3750.0,29928,46120.0,180079,299022.0,USA,University,Digital Commons,Digital Commons,Website,3100,0.09,19800
md_drum,md_drum_page_clicks,md_drum_access_info,University of Maryland,DRUM (U Maryland),https://drum.lib.umd.edu,21246,11336,8714,8437,0.4,253804.0,253804.0,11336.0,22.389202540578687,96.06795530722638,1.0,1.0,4.0,12.0,2401.0,253804.0,8437.0,30.082256726324523,126.23841482359495,1.0,2.0,4.0,15.0,2867.0,31299,66048.0,127098,253804.0,USA,University,DSpace,DSpace,Title browse,14289,0.67,17700
um,um_page_clicks,um_access_info,University of Michigan,Deep Blue (U Michigan),https://deepblue.lib.umich.edu/documents,124436,36396,32245,31773,0.26,842648.0,842648.0,36396.0,23.152214529069127,160.49765191299713,1.0,1.0,4.0,13.0,18933.0,842642.0,31772.0,26.521528389777163,176.78760309316465,1.0,2.0,4.0,15.0,19122.0,72364,128538.0,460541,842648.0,USA,University,DSpace,DSpace,Title browse,27462,0.22,55100
