ir,pc_index,ai_index,inst,repoName,rURL,countItems,countCcdUrls,countItemUrls,useRatio,sumCcd,ccdAggSum,ccdAggCount,ccdAggMean,ccdAggStd,ccdAggMin,ccdAgg25,ccdAgg50,ccdAgg75,ccdAggMax,itemAggSum,itemAggCount,itemAggMean,itemAggStd,itemAggMin,itemAgg25,itemAgg50,itemAgg75,itemAggMax,serp1,serp1CcdSum,serp100,serp100CcdSum,irCountry,irType,irPlat,normIrPlat,ctMethod,ctEtd,pctEtd,gsSO
epsilon_students,epsilon_students_page_clicks,epsilon_students_access_info,Swedish University of Agricultural Sciences,Epsilon Archive for Student Projects,https://stud.epsilon.slu.se/cgi/stats/report,11895,10792,10757,0.9,421045,421045,10792,39.01454781,98.94348229,1,5,12,34,2375,421045,10757,39.14148926,99.12988063,1,5,13,34,2375,107724,178733,252292,421045,Sweden,University,EPrints 3,EPrints,Items listed on statistics browse page,11895,1,11700
univ_kentucky,univ_kentucky_page_clicks,univ_kentucky_access_info,University of Kentucky,Uknowledge (U Kentucky),https://uknowledge.uky.edu,34196,12228,10628,0.31,299022,299022,12228,24.45387635,83.99721678,1,2,5,17,3621,299022,10628,28.13530297,90.81305706,1,2,6,21,3750,29928,46120,180079,299022,USA,University,Digital Commons,Digital Commons,Website,3100,0.09,19800
md_drum,md_drum_page_clicks,md_drum_access_info,University of Maryland,DRUM (U Maryland),https://drum.lib.umd.edu,21246,11336,8714,0.41,253804,253804,11336,22.38920254,96.06795531,1,1,4,12,2401,253804,8714,29.12600413,123.8521523,1,1,4,15,2867,31299,66048,127098,253804,USA,University,DSpace,DSpace,Title browse,14289,0.67,17700
um,um_page_clicks,um_access_info,University of Michigan,Deep Blue (U Michigan),https://deepblue.lib.umich.edu/documents,124436,36396,32245,0.26,842648,842648,36396,23.15221453,160.4976519,1,1,4,13,18933,842642,32244,26.13329612,175.4007017,1,1,4,15,19122,72364,128538,460541,842648,USA,University,DSpace,DSpace,Title browse,27462,0.22,55100
u_montana,u_montana_page_clicks,u_montana_access_info,University of Montana,ScholarWorks (U Montana),https://scholarworks.umt.edu,75715,6307,5836,0.08,149482,149482,6307,23.70096718,88.0175501,1,1,3,11,1825,149482,5836,25.61377656,92.91807436,1,1,3,10,1825,12618,19907,80820,149482,USA,University,Digital Commons,Digital Commons,Website,11233,0.15,21600
unlincoln_dc,unlincoln_dc_page_clicks,unlincoln_dc_access_info,University of Nebraska Lincoln,Digital Commons @U Nebraska Lincoln,https://digitalcommons.unl.edu,105065,60599,47418,0.45,1722888,1722888,60599,28.43096421,277.4160596,1,2,5,15,53203,1722663,47417,36.33007149,315.6762386,1,2,6,21,53203,189237,351102,869221,1722888,USA,University,Digital Commons,Digital Commons,Website,14731,0.14,51600
unlv_digital,unlv_digital_page_clicks,unlv_digital_access_info,University of Nevada - Las Vegas,Digital Scholarship at UNLV,https://digitalscholarship.unlv.edu,23896,6022,5339,0.22,227232,227232,6022,37.73364331,171.4994284,1,2,5,17,5235,227232,5339,42.56077917,181.9683215,1,2,6,21,5235,9767,21101,99635,227232,USA,University,Digital Commons,Digital Commons,Website,3397,0.14,14000
new_mexico_dc,new_mexico_dc_page_clicks,new_mexico_dc_access_info,University of New Mexico,Digital Repository (UNM),https://digitalrepository.unm.edu,93564,9196,8839,0.09,246001,246001,9196,26.75086994,143.4985,1,2,5,15,6206,245998,8838,27.83412537,149.2952267,1,2,5,16,6206,29535,69784,126514,246001,USA,University,Digital Commons,Digital Commons,Website,5309,0.06,30600
shareok,shareok_page_clicks,shareok_access_info,University of Oklahoma/Oklahoma State University/University of Central Oklahoma,ShareOK,https://shareok.org,64972,13604,11834,0.18,178470,178470,13604,13.11893561,62.57057329,1,1,2,7,2594,178458,11833,15.08138257,86.27721794,1,1,3,8,6092,30546,48794,110066,178470,USA,Consortium,DSpace,DSpace,Title browse,34165,0.53,34200
ds_pitt,ds_pitt_page_clicks,ds_pitt_access_info,University of Pittsburgh,D-Scholarship@Pitt,http://d-scholarship.pitt.edu,21358,6085,6021,0.28,189997,189997,6085,31.22382909,296.7236967,1,2,5,19,21746,189995,6020,31.56063123,298.4244636,1,2,6,19,21746,18456,38641,97737,189997,USA,University,EPrints 3,EPrints,Website,9583,0.45,11900
uop_pearl,uop_pearl_page_clicks,uop_pearl_access_info,University of Plymouth,PEARL (U Plymouth),https://pearl.plymouth.ac.uk,9903,3235,2449,0.25,38972,38972,3235,12.04698609,56.0147875,1,1,3,8,2177,38972,2449,15.91343405,82.51357991,1,1,3,10,3268,5619,8283,24450,38972,UK,University,DSpace,DSpace,Title browse,2586,0.26,4740
strathprints,strathprints_page_clicks,strathprints_access_info,University of Strathclyde,Strathprints,https://strathprints.strath.ac.uk,51386,9521,9451,0.18,55089,55089,9521,5.786051885,20.65271359,1,1,2,5,759,55089,9451,5.828906994,20.73406915,1,1,2,5,759,19517,22101,44780,55089,UK,University,EPrints 3,EPrints,Statistics page,124,0,8570
ut_austin,ut_austin_page_clicks,ut_austin_access_info,University of Texas at Austin,Texas ScholarWorks,https://repositories.lib.utexas.edu,60359,22281,16370,0.27,282521,282521,22281,12.67990665,359.5237199,1,1,3,6,51634,262070,16369,16.01014112,429.2003928,1,1,3,8,52843,49317,131077,147187,282521,USA,University,DSpace,DSpace,Title browse,.,.,.
w_cape_repo,w_cape_repo_page_clicks,w_cape_repo_access_info,University of the Western Cape,Western Cape Research Respository,https://repository.uwc.ac.za,3640,1437,1381,0.38,17541,17541,1437,12.20668058,38.82472233,1,1,3,9,652,17541,1381,12.70166546,40.20077408,1,1,3,9,652,4355,7119,11266,17541,South AFrica,University,DSpace,DSpace,Title browse,0,0,997
w_cape_etd,w_cape_etd_page_clicks,w_cape_etd_access_info,University of the Western Cape,Western Cape ETD Repository,http://etd.uwc.ac.za/xmlui//,5143,6121,5730,1.11,162410,162410,6121,26.5332462,87.40225678,1,2,6,19,2353,162410,5730,28.34380454,92.10408206,1,2,6,21,2364,27579,63254,78428,162410,South Africa,University,DSpace,DSpace,Title browse,5182,1.01,4990
u_waterloo,u_waterloo_page_clicks,u_waterloo_access_info,University of Waterloo,UWSpace (U Waterloo),https://uwspace.uwaterloo.ca,13021,10494,7671,0.59,204839,204839,10494,19.51963026,53.10910378,1,2,5,16,1490,204831,7670,26.70547588,72.06205732,1,3,8,23,1765,17955,22809,134034,204839,Canada,University,DSpace,DSpace,Title browse,11657,0.9,11500
wollongong,wollongong_page_clicks,wollongong_access_info,University of Wollongong,Research Online (U Wollongong),https://ro.uow.edu.au,69396,23996,21343,0.31,749251,749251,23996,31.22399567,144.6881025,1,2,6,21,9722,749044,21342,35.09717927,173.8331233,1,2,7,25,15696,79213,121761,401194,749251,Australia,University,Digital Commons,Digital Commons,Website,5662,0.08,31300
md_soar,md_soar_page_clicks,md_soar_access_info,University System of Maryland,Maryland SOAR,https://mdsoar.org,9359,2914,2543,0.27,48778,48778,2914,16.73919012,126.6690098,1,1,3,8,4003,48778,2543,19.18128195,175.5236959,1,1,3,9,7594,5316,8202,24458,48778,USA,Consortium,DSpace,DSpace,Title browse,589,0.06,3160
va_tech,va_tech_page_clicks,va_tech_access_info,Virginia Tech,VTechWorks,https://vtechworks.lib.vt.edu,72275,24402,17751,0.25,620847,620847,24402,25.44246373,375.8701044,1,1,3,10,36865,620847,17751,34.97532533,579.0614695,1,1,4,14,45509,53646,182129,256607,620847,USA,University,DSpace,DSpace,Title browse,32837,0.45,53500
